,Unstandardised Residuals,Standardised Residuals,Date,Loss,Estimated VaR 95%,Estimated VaR 99%,Estimated ES 95%,Estimated ES 99%,var_95_hist,var_99_hist
0,0.0,0.0,11/5/2012,0.0,0.0,0.0,0.0,0.0,,
1,0.0,0.0,11/6/2012,0.008968793755250282,0.0,0.0,0.0,0.0,,
2,-0.020423495310128104,-9.296519992753302,11/7/2012,-0.020423495310128104,0.0,0.0,0.0,0.0,,
3,-0.010198406429505091,-1.8756477357265235,11/8/2012,-0.010198406429505091,0.0,0.0,0.0,0.0,,
4,-0.0002821204974283731,-0.04836155229947191,11/9/2012,-0.0002821204974283731,0.0,0.0,0.0,0.0,,
5,0.0008459357253371991,0.14955695558538698,11/12/2012,0.0008459357253371991,0.0,0.0,0.0,0.0,,
6,-0.004501969625864355,-0.8203479243740995,11/13/2012,-0.004501969625864355,0.0,0.0,0.0,0.0,,
7,-0.01338557930506834,-2.4634052472678807,11/14/2012,-0.01338557930506834,0.0,0.0,0.0,0.0,,
8,-0.0016607603938032511,-0.2676393102189337,11/15/2012,-0.0016607603938032511,0.0,0.0,0.0,0.0,,
9,0.0024923962064260508,0.4133381623801772,11/16/2012,0.0024923962064260508,0.0,0.0,0.0,0.0,,
10,0.017055913118309896,2.9016448249742313,11/19/2012,0.017055913118309896,0.0,0.0,0.0,0.0,,
11,-0.0,-0.0,11/20/2012,-0.0,0.0,0.0,0.0,0.0,,
12,0.00423888627730129,0.618724425963036,11/21/2012,0.00423888627730129,0.0,0.0,0.0,0.0,,
13,0.013687224498065476,2.0358917830581817,11/23/2012,0.013687224498065476,0.0,0.0,0.0,0.0,,
14,-0.0034395778790168308,-0.4692560712049695,11/26/2012,-0.0034395778790168308,0.0,0.0,0.0,0.0,,
15,-0.006274623924799272,-0.8767942364693491,11/27/2012,-0.006274623924799272,0.0,0.0,0.0,0.0,,
16,0.007706384875666217,1.0844123527816991,11/28/2012,0.007706384875666217,0.0,0.0,0.0,0.0,,
17,0.0040197912169137595,0.5626869574956702,11/29/2012,0.0040197912169137595,0.0,0.0,0.0,0.0,,
18,-0.0002878528431091709,-0.04114577544727823,11/30/2012,-0.0002878528431091709,0.0,0.0,0.0,0.0,,
19,-0.0037319383738045886,-0.5501762019129409,12/3/2012,-0.0037319383738045886,0.0,0.0,0.0,0.0,,
20,-0.0022894713296697233,-0.34481262500753385,12/4/2012,-0.0022894713296697233,0.0,0.0,0.0,0.0,,
21,0.007460470238926931,1.154538704227808,12/5/2012,0.007460470238926931,0.0,0.0,0.0,0.0,,
22,0.0037513299452553994,0.5748204971513526,12/6/2012,0.0037513299452553994,0.0,0.0,0.0,0.0,,
23,0.006962655483894409,1.088994869250276,12/7/2012,0.006962655483894409,0.0,0.0,0.0,0.0,,
24,0.0008735601549796357,0.1358735633075761,12/10/2012,0.0008735601549796357,0.0,0.0,0.0,0.0,,
25,0.0055519032924857825,0.8901524226065507,12/11/2012,0.0055519032924857825,0.0,0.0,0.0,0.0,,
26,-0.0,-0.0,12/12/2012,-0.0,0.0,0.0,0.0,0.0,,
27,-0.0055519032924857825,-0.9238949689185023,12/13/2012,-0.0055519032924857825,0.0,0.0,0.0,0.0,,
28,-0.0020373993452613703,-0.3405437841773554,12/14/2012,-0.0020373993452613703,0.0,0.0,0.0,0.0,,
29,0.007589302637747153,1.3035667109581495,12/17/2012,0.007589302637747153,0.0,0.0,0.0,0.0,,
30,0.008828703530207704,1.4856051268279977,12/18/2012,0.008828703530207704,0.0,0.0,0.0,0.0,,
31,-0.007362983489660024,-1.1964031723495268,12/19/2012,-0.007362983489660024,0.0,0.0,0.0,0.0,,
32,0.004705889973679156,0.7549472664891324,12/20/2012,0.004705889973679156,0.0,0.0,0.0,0.0,,
33,-0.008513018590226906,-1.3836781972084429,12/21/2012,-0.008513018590226906,0.0,0.0,0.0,0.0,,
34,-0.00437511185688777,-0.6923734390673868,12/24/2012,-0.00437511185688777,0.0,0.0,0.0,0.0,,
35,-0.0020351419571040807,-0.327218015169298,12/26/2012,-0.0020351419571040807,0.0,0.0,0.0,0.0,,
36,-0.001451180471357283,-0.2398396505456326,12/27/2012,-0.001451180471357283,0.0,0.0,0.0,0.0,,
37,-0.011820941962829679,-2.0113695892268173,12/28/2012,-0.011820941962829679,0.0,0.0,0.0,0.0,,
38,0.014143882852312828,2.2129135756192966,12/31/2012,0.014143882852312828,0.0,0.0,0.0,0.0,,
39,0.023530360524913085,3.314351945571791,1/2/2013,0.023530360524913085,0.0,0.0,0.0,0.0,,
40,-0.0020810128273707207,-0.23179687022528184,1/3/2013,-0.0020810128273707207,0.0,0.0,0.0,0.0,,
41,0.002974088407248665,0.3410981094046879,1/4/2013,0.002974088407248665,0.0,0.0,0.0,0.0,,
42,-0.003271136844452016,-0.38552588848962654,1/7/2013,-0.003271136844452016,0.0,0.0,0.0,0.0,,
43,-0.0035567000610328137,-0.4303162799145735,1/8/2013,-0.0035567000610328137,0.0,0.0,0.0,0.0,,
44,0.004744852450686565,0.5886373263703151,1/9/2013,0.004744852450686565,0.0,0.0,0.0,0.0,,
45,0.006262245096774421,0.7925761381234118,1/10/2013,0.006262245096774421,0.0,0.0,0.0,0.0,,
46,0.0008978568794937303,0.114925743706185,1/11/2013,0.0008978568794937303,0.0,0.0,0.0,0.0,,
47,0.0014980170543781313,0.19768788190181694,1/14/2013,0.0014980170543781313,0.0,0.0,0.0,0.0,,
48,0.0018008185194524629,0.24480952584304647,1/15/2013,0.0018008185194524629,0.0,0.0,0.0,0.0,,
