,Unstandardised Residuals,Standardised Residuals,Date,Loss,Estimated VaR 95%,Estimated VaR 99%,Estimated ES 95%,Estimated ES 99%,var_95_hist,var_99_hist
522,0.005132563765069875,0.9303216638253313,12/2/2014,0.005132563765069875,0.009011301392144176,0.011818329200679404,0.011506538733090422,0.016587246393702775,1.6333764738443461,2.142174591271128
523,0.002146643749962429,0.3906773789114513,12/3/2014,0.002146643749962429,0.008974866701223438,0.011770545073516412,0.011460015243966741,0.0165201804762197,1.6333764738443461,2.142174591271128
525,0.004734315650482657,0.9114346367939377,12/5/2014,0.004734315650482657,0.008484338306971503,0.01112721668028301,0.010833659102659439,0.015617257026599265,1.6333764738443461,2.142174591271128
529,0.004221296210404013,0.6789452170983977,12/11/2014,0.004221296210404013,0.010155408338642053,0.013318826403700898,0.012967449906936223,0.018693222322867836,1.6333764738443461,2.142174591271128
533,0.01615245195271342,2.272598880795111,12/17/2014,0.01615245195271342,0.011609191238021148,0.015225463874084312,0.01482378657943872,0.021369223724394017,1.6333764738443461,2.142174591271128
534,0.02451525767879481,3.0852206327292193,12/18/2014,0.02451525767879481,0.012978859507805524,0.017021784938447814,0.016572717206872638,0.02389039398381469,1.6527625441443898,2.213510428671054
535,0.0021417934143812545,0.21926966806420511,12/19/2014,0.0021417934143812545,0.016143938027707225,0.02162123973026537,0.020614832657077378,0.029484445573078156,1.6655786012632365,2.2767463409019832
536,0.009046108257481755,0.9537475931262797,12/22/2014,0.009046108257481755,0.015797685306847584,0.02159449106142893,0.020556513646151558,0.030171572382098524,1.6655786012632365,2.2767463409019832
537,0.00303360910880901,0.3207095221932928,12/23/2014,0.00303360910880901,0.015754800112184494,0.021535869564998797,0.02050070989565353,0.03008966710738483,1.6655786012632365,2.2767463409019832
538,0.0008683685056682933,0.09437814113260004,12/24/2014,0.0008683685056682933,0.01532490451385305,0.020948227991236593,0.01994131435371991,0.02926862111806002,1.6655786012632365,2.2767463409019832
539,0.0017390024822168115,0.19488580492154062,12/26/2014,0.0017390024822168115,0.0148622693330079,0.020315833366111806,0.01933931689500924,0.02838504668457486,1.6527625441443898,2.2767463409019832
